"true_psi";"true_p11";"true_p10";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66";"67";"68";"69";"70";"71";"72";"73";"74";"75";"76";"77";"78";"79";"80";"81";"82";"83";"84";"85";"86";"87";"88";"89";"90";"91";"92";"93";"94";"95";"96";"97";"98";"99";"100"
0.1;0.7;0;0.0960278831154419;0.0878243534573227;0.117478605417417;0.100771879633076;0.10362201689007;0.0798214048883019;0.0961565423628989;0.0998185042821669;0.096611476088906;0.10111033544312;0.106259900159155;0.0985998960603045;0.079303288005968;0.0845574648568169;0.0867262317048773;0.0813757928096728;0.0950045574832522;0.0937799480016622;0.094050349151477;0.105575008766698;0.108998146369473;0.100134727420926;0.106393530925134;0.0887684554960107;0.103620743970702;0.0792693278507349;0.0952158052148589;0.0863600356872052;0.0827090468891919;0.0998762401868094;0.0998089016813689;0.0987189998249125;0.0883184585258385;0.104339356644073;0.108844818847296;0.0987063301374235;0.111692498870832;0.10951635351232;0.0920542857869887;0.103346738842344;0.101361134999096;0.115238090694391;0.0940676209413239;0.106067009995512;0.104142197082619;0.10382493885097;0.0819743108101189;0.10188098555029;0.0912987475121742;0.0898247365069167;0.0838648559247016;0.109872449465758;0.104200083419019;0.129189536434656;0.102080881726213;0.0913950428078815;0.112347419346023;0.0875300704635972;0.0892392848534615;0.0690464115265946;0.119489182946563;0.0913193919373642;0.108942828436482;0.108014042787649;0.108380268789608;0.0982125040037294;0.112333305039429;0.116613609534645;0.0865409081600414;0.108160066365797;0.0811290460223238;0.100441536900263;0.0852043555183845;0.103455193136341;0.0971349283559155;0.0892521971065567;0.0850176341174301;0.0997804609560788;0.109571990346645;0.0843553519907407;0.0807027029811124;0.099006327890729;0.0890650969088474;0.0845717653221009;0.0907818325191265;0.103897428426221;0.0777397091096557;0.111489891295579;0.0854113078876122;0.113736036892277;0.0918213727764416;0.124520092471832;0.098803201656613;0.116964326792656;0.0929729258574958;0.100616192036553;0.0982321792198631;0.104276728065;0.11510018230236;0.0921173585557887
0.1;0.7;0.01;0.116865980428658;0.147896468180218;0.134549474674435;0.130379119575784;0.142940621849625;0.112121772131091;0.126580765215827;0.14067204423664;0.124189406631589;0.13591515487495;0.121435559671216;0.148035938206654;0.138852486071129;0.147646496877589;0.14012070497069;0.143072725714269;0.140960971589511;0.134116960393102;0.135810566224238;0.125731948616585;0.155362012907739;0.134552725781717;0.129274299426334;0.114194488591562;0.137683818215429;0.123653008453244;0.132144247782751;0.137468257703918;0.154098045265575;0.137891793088951;0.126307590500222;0.128407602056249;0.151934266893189;0.146756106241598;0.144099602197666;0.133451875975048;0.120304615158104;0.121914389208733;0.135459517815896;0.136006175527359;0.142733193741362;0.111617801508799;0.133538625925693;0.165952841925632;0.150610310067372;0.135256350411446;0.129784695142549;0.12302834230203;0.159430628900513;0.123434041699164;0.138393101901352;0.133491167981202;0.118793468313259;0.132325570772622;0.138612481000528;0.136252633080693;0.138745193891507;0.116364984318975;0.138221749260209;0.160048463573579;0.1428737834394;0.13058679406172;0.132186549053033;0.141439032564325;0.118747527636266;0.126195943797255;0.142474458940359;0.127098034557785;0.138180051744798;0.134684651020847;0.128527000252335;0.150144182615737;0.123454165101684;0.116906041397202;0.123550973563174;0.14099447874028;0.134028955679661;0.124576587735114;0.140267382966734;0.143210293387388;0.153679309660639;0.145972225720656;0.152931744572216;0.137689973178818;0.14397518745437;0.144916882969268;0.138783678889328;0.143557424071879;0.134339492395486;0.147769509716896;0.142737630973178;0.135912958111403;0.129523388052513;0.122580761101716;0.144379781623967;0.156250185052565;0.127891835312203;0.129765532458459;0.118609814508352;0.151845450034325
0.1;0.7;0.02;0.167045785714808;0.20278200116909;0.19268113954429;0.152499169950061;0.171330221803896;0.183671401879321;0.180622547676392;0.177608259053026;0.177116586198936;0.156983254861588;0.170964473080829;0.170118355775291;0.184502609091968;0.167674289087329;0.180610885757184;0.159000463487189;0.193476322335143;0.16041546300232;0.176998223617793;0.188563116812252;0.167015859786977;0.164303652670268;0.161495566849538;0.169287537812018;0.16407460602726;0.16319914960399;0.171529190983563;0.178969543298104;0.163523644459993;0.192777798540542;0.16923103152966;0.174653800116584;0.169264623085368;0.162762033679489;0.177587813752418;0.184290663777475;0.144446583988415;0.15717117753421;0.173413502848447;0.19529887740619;0.175149841979784;0.16093291804881;0.172928895261282;0.177691834540922;0.177033205484858;0.170813621771604;0.190037253072547;0.172153404898257;0.185265559932389;0.17736783432764;0.160021947779091;0.183787895110865;0.177517201662166;0.18000530898646;0.163618286699804;0.191953894478753;0.189152650156942;0.174114508524718;0.189441900906876;0.160365665635354;0.165991702679873;0.151827696169638;0.188095987623531;0.172972609922002;0.163985771562559;0.19499206458709;0.164305639474337;0.206931691195118;0.154130196459218;0.166724396380475;0.172074675312591;0.177676721500779;0.158804763702782;0.174108176526481;0.160243261315372;0.177710843216551;0.175563483209696;0.181237503997387;0.193699793401422;0.184227217331754;0.159166034400015;0.175188684740462;0.187037177861871;0.184919317662959;0.168032076571343;0.180009405593005;0.182634912443482;0.159812294619677;0.182260666462495;0.18346476871408;0.166808870329528;0.174961290334603;0.18207015698812;0.183669542944381;0.197471062428199;0.157235815119867;0.166509958045984;0.16808428702298;0.192081593807588;0.155934152036131
0.1;0.7;0.05;0.287873248811276;0.266523668906277;0.28463752292742;0.276132378914567;0.296310358161407;0.318377323824319;0.280626849038225;0.299808666239775;0.289297976032214;0.312340700168871;0.264835576561873;0.273518684146809;0.321898913122939;0.31618531506281;0.276621960235288;0.296771220230161;0.304862206245191;0.292534407689444;0.304497795503704;0.296786004748069;0.283206615302706;0.276048159201283;0.288464661497924;0.302643440291735;0.307705741917675;0.282034542034932;0.298279299307026;0.283611993367091;0.290392615560029;0.313792995024075;0.3231426162027;0.313621763214232;0.274436990105062;0.294844653672266;0.292395442059283;0.280907254381999;0.29992561510333;0.311396953565037;0.30785979829214;0.316113466322379;0.290079598161972;0.268845083254573;0.320531451297771;0.285740156554576;0.292455119428453;0.302402262669632;0.270054403522386;0.31998565074823;0.273841360505694;0.291826847111278;0.299814556533279;0.262955538470312;0.290650435267444;0.283079366936848;0.282787092592848;0.27771855420233;0.293321823116608;0.293877613998947;0.312149808552596;0.313257323021587;0.300939442820789;0.321973297835063;0.289232962527422;0.346730795166808;0.306377578518733;0.306431340651088;0.296076427732782;0.277522196597042;0.285291238604065;0.320698607331758;0.321351476452676;0.303175087149505;0.308837549371914;0.294127166153418;0.251427815013353;0.276639708342438;0.30110171969025;0.27523114481397;0.315894784800808;0.30732418963112;0.296929231228316;0.297654123578849;0.322969907756534;0.30269054966619;0.304144614588415;0.332663923168948;0.317243525516065;0.320225365431259;0.264587573442775;0.287912116916988;0.309359168480011;0.291492173966463;0.31159925301677;0.309134314306694;0.279412579380144;0.292038936343983;0.308583887688382;0.290063321210243;0.303908818251592;0.299070137477186
0.1;0.9;0;0.09720113138305;0.0875507975601212;0.108938972413447;0.0822546039477847;0.104071413821761;0.110578629553446;0.0985591070708329;0.11100746732969;0.103692816831079;0.108532069929931;0.0902715139870921;0.104858450447636;0.0987229904078921;0.0991887533516437;0.0908452472894647;0.124912795851933;0.0947904555327629;0.101876526882447;0.103856048447933;0.105761441631595;0.0901772150857153;0.0882547381132373;0.0985426722048992;0.0877896732972162;0.0928466452789628;0.0984384917460545;0.0936999379663832;0.115796431716669;0.0944431444562265;0.0924122777525795;0.0989717539028609;0.0948423033329295;0.126020135956173;0.0959261376268907;0.083172359977141;0.0961269585698005;0.109538871981188;0.103473846023497;0.0896587750566008;0.0858963042380587;0.0851706003702674;0.0959854082082542;0.101615687890173;0.0950217834182357;0.0872704463931822;0.0954527353774013;0.0963778756349405;0.110989968977468;0.0971871314070851;0.107919233195762;0.0912323063914667;0.10882308562215;0.0947502503358185;0.102750978942955;0.106361483397762;0.0888963963245163;0.0951176167771337;0.0797802031584975;0.0805832222225271;0.108338211306112;0.104658605910091;0.0844500635763809;0.1020987841637;0.0980206226154323;0.105629113775948;0.101176984017044;0.0930502106321788;0.0781859810350031;0.102784608371175;0.092640541663106;0.101854700037472;0.0963858351499333;0.10959075259769;0.104298166202294;0.0965221376827772;0.081301318110136;0.102096877873356;0.0883761786552416;0.104332298050477;0.0943829469576673;0.103835220989554;0.094673036851814;0.0898829841438016;0.114499392932676;0.0817301398340366;0.11217202030444;0.0984672656849106;0.121522416128188;0.082784718842416;0.120670255953747;0.0893842277288542;0.0786125639405872;0.110417176015761;0.0789088322887775;0.110355148181897;0.0998215380392958;0.0949912241663708;0.108010035079723;0.101391820099743;0.107983766303662
0.1;0.9;0.01;0.119883327209433;0.124962633521071;0.135565804714695;0.126872703632208;0.145206893485654;0.128441969605627;0.126222364834092;0.122908180657695;0.137812052856683;0.116070530650306;0.132122178251417;0.122563977043711;0.143273435421987;0.122859115663301;0.138981543694668;0.109478236655798;0.154742432464906;0.132402141191597;0.119809297152692;0.121789166970105;0.127435983015011;0.142549731590639;0.137794377495003;0.138288947011959;0.127750102613405;0.142755775470325;0.12181610291279;0.12985589954815;0.143900491701462;0.155119951437263;0.122158024316085;0.116762203759967;0.118812170617544;0.136067865531061;0.140122525664153;0.143209667945476;0.120455994502734;0.127310470335;0.129189728344415;0.119364466964811;0.118826487197142;0.113526212137185;0.123265261732662;0.125651809444726;0.138809292199478;0.122212200650664;0.106903929342333;0.148337221990284;0.122348931646861;0.136127842098294;0.123555951423673;0.144607729965601;0.127471928491933;0.133051784769276;0.136668854495815;0.129067510204024;0.126071703789011;0.11912975355406;0.127352829850658;0.12976294497763;0.131914972710039;0.136084910471312;0.13716203341741;0.143854331730656;0.148811203258648;0.129989261817016;0.141133712691558;0.13397199456911;0.123853426181613;0.127306650418303;0.146837016782235;0.122028930337711;0.148846563525646;0.119362842328369;0.123855964309723;0.117442371385676;0.135216389900127;0.123445932494088;0.135520418895289;0.118865791961296;0.124965208606997;0.130696145419307;0.129444697636768;0.146827168588518;0.147937885865032;0.12748742060397;0.129264223463976;0.13739899028778;0.110342008310036;0.120619688752729;0.121706959294838;0.132659969322764;0.120837766477902;0.123084527931439;0.139820487908403;0.13405529040766;0.121058494735072;0.122417587856013;0.129520324322248;0.134332872539794
0.1;0.9;0.02;0.142290493238233;0.168086264015834;0.178656319348592;0.185598861462066;0.161593765670963;0.177291106120349;0.173246298828635;0.181990472810579;0.176691193514672;0.167291451407938;0.158381004780277;0.168415671946677;0.14890117740286;0.164577710207155;0.162928728476153;0.176434392748089;0.160652922636926;0.172122023804719;0.167488550354326;0.157501966915153;0.153688527330753;0.184075335424407;0.155146455694915;0.151024072927238;0.170934586849057;0.158255982231573;0.175919820709254;0.171047670246518;0.158429886885147;0.145448951660719;0.163265060313572;0.156405864412807;0.164139536027898;0.162194664615556;0.169372836033974;0.164675921700041;0.161127618106105;0.152951769920687;0.166830440339476;0.156082676922866;0.159581790081585;0.165429707434096;0.157877364315049;0.158830949530155;0.149888035220515;0.170968042358522;0.175323510278432;0.165462785004505;0.161216197848434;0.141945571347866;0.179424953222762;0.160527374197119;0.15975443067899;0.138978485231328;0.162069799682514;0.155638191591418;0.133823950094998;0.160483207072493;0.162226465040988;0.169138017157408;0.167767382787783;0.176307994733134;0.142643095041306;0.14646395410126;0.146498551887878;0.163256384153702;0.159192640655958;0.154438497682232;0.143795783619781;0.167755848554388;0.165702252196508;0.163023247509581;0.156314369257796;0.162406183515483;0.15820153541613;0.158572759576798;0.152900316176362;0.154100846794321;0.164719199791934;0.168256829628808;0.166265056034315;0.175490877891445;0.172586582592109;0.150508222115841;0.161997848710794;0.159684065298742;0.145630733842592;0.154691475325531;0.170013684202574;0.183689841981579;0.154005935081307;0.169409892821269;0.147982325997821;0.159339394984323;0.164933811824804;0.164137246317317;0.171250599912586;0.171458457654634;0.149932214679509;0.174957284980778
0.1;0.9;0.05;0.279434969476801;0.250790888173548;0.269353985660346;0.27290730506582;0.245672268538592;0.243826121673478;0.269075336791147;0.288732632795135;0.252034878226908;0.266009446280981;0.293165999145669;0.282443520290281;0.289401624203675;0.268120281507887;0.302167717932352;0.284333198913384;0.269414662121937;0.280255932793937;0.2537524652746;0.244840649750844;0.26685739722685;0.26363551381739;0.254507844141309;0.265351548550498;0.248310567447251;0.3009067844621;0.250193102170254;0.253202491439175;0.278895749436957;0.281675129643633;0.268821902065487;0.251589229421438;0.272836824427207;0.270912446173292;0.262976533260673;0.253402001926388;0.258147999850615;0.255208862444111;0.263281421654999;0.288966477839962;0.268700168727902;0.251087857878656;0.265711591370074;0.256310290501619;0.283073083801171;0.264622316981322;0.279652970391162;0.268364327986156;0.289665366888992;0.263727423517839;0.250063767184437;0.274188740944477;0.280062495364791;0.294861395961244;0.265711635705029;0.2655083633973;0.287883127117191;0.265416009138645;0.280909821457378;0.268725207830099;0.259028483014512;0.261031101572785;0.274835533446183;0.288482837270613;0.244876358087392;0.265383450511539;0.271209844653595;0.275618922304246;0.262673978529988;0.261424009733623;0.258995977069126;0.249035594819411;0.272928655779907;0.264759429023926;0.277714834609355;0.281452068055861;0.26419492099425;0.270038985350254;0.280888574154673;0.266616964593044;0.283883453188847;0.271959597202357;0.274793099605977;0.282749961228872;0.279472268883901;0.264556236484809;0.268828228380546;0.247908277499602;0.265603213764658;0.277817447029297;0.28096636277166;0.288110638237919;0.260047310567573;0.289463673573982;0.266383106956476;0.271974678316722;0.250509257488111;0.275379229266956;0.260570094057173;0.272869745196152
0.3;0.7;0;0.31505642368253;0.305405680781639;0.3328997257716;0.296763357166506;0.286566020465781;0.267829048434333;0.294369138706234;0.345385877420102;0.333827372696746;0.265874153339615;0.293188816074524;0.254328595189067;0.295462584926579;0.247516545826365;0.333450695217663;0.298765582552146;0.287429038894041;0.322203283980377;0.309983923813057;0.280967849023795;0.31855323174046;0.300540150851376;0.295815375898794;0.267457537232545;0.296640838577345;0.323462044435108;0.259892423206018;0.325126647857808;0.283760833267035;0.279293863276587;0.277644146372763;0.313036524750823;0.323317850211678;0.285979452617918;0.278644026521839;0.293616167497878;0.313349400308427;0.32594687817978;0.261082598398759;0.362286468257143;0.302090298228619;0.289201465553509;0.305882851454963;0.296822021492101;0.300724180025846;0.273427542068462;0.307394354393393;0.284992416746443;0.268383851292945;0.313527369926164;0.281912200499088;0.283063691338269;0.290962822834312;0.277017665711373;0.290310521373123;0.273321625670482;0.338431368249261;0.302860859125339;0.23360564170841;0.301010011524079;0.314937459122438;0.321172718815012;0.326501208233855;0.302815074479682;0.293658002350136;0.296798119407111;0.329682905510783;0.292378129141655;0.246927913970206;0.282487068777497;0.290022711957072;0.305175225246911;0.284028379460143;0.273046291679755;0.339954813756036;0.314885840189831;0.303081929965716;0.30292401252767;0.317548713755501;0.286548431471281;0.295483181677336;0.293861781492734;0.310984615281271;0.320010460413906;0.304211482545831;0.273680806033726;0.302129602739131;0.299863326040087;0.262546131064349;0.298087190232375;0.358251357489422;0.291232946422448;0.309324646268994;0.242685807901908;0.268344682981565;0.330716932697611;0.302924032183503;0.301412106888006;0.333476255837955;0.27278713300286
0.3;0.7;0.01;0.316149276039511;0.295081034130405;0.363928196763739;0.335106051709544;0.307390199784311;0.359616996900798;0.286445463304985;0.329118339856853;0.312345793150403;0.337285410311832;0.36145150603913;0.306930766814633;0.293679015477147;0.307363767651735;0.334602143158612;0.317652423294932;0.319196221918805;0.366282199036938;0.350319481860447;0.339604068949133;0.327318874581671;0.316417302173277;0.35730480466108;0.328708967813449;0.349328052632728;0.288692915194329;0.314629690481232;0.368568556437639;0.331706674539064;0.347943947038333;0.332324416582223;0.331388314736727;0.328752395426078;0.293141939639007;0.356054817474483;0.346294064273651;0.30528815155;0.347413810473235;0.308407796372497;0.327358847413136;0.311152746231926;0.333723885668542;0.311127325127083;0.310132554814798;0.30439780723725;0.339364113161235;0.308236362495117;0.304888896014301;0.312141558058545;0.314010679629316;0.345983936170156;0.326092728556327;0.268947013435278;0.344754935850149;0.281021032861924;0.325327686019091;0.321812489803278;0.276976930025261;0.330252008280625;0.341502304400601;0.334219194120172;0.284872414499005;0.315090723822331;0.316005143933269;0.35681642558929;0.317310875111532;0.313604663157797;0.333591065872405;0.350600399715751;0.329890440437412;0.312852240636512;0.308115059481413;0.307276977218284;0.270817038722534;0.287322976809742;0.316490709544301;0.363160219576824;0.321326032835051;0.351080706305847;0.30679430008817;0.327870557872874;0.30632868729827;0.306181623150762;0.317340491064594;0.348998945119465;0.348578118656208;0.322466288994989;0.318376005591848;0.350490016433403;0.347056148073353;0.258338103401985;0.309437862897491;0.328655146048491;0.33014428674583;0.369246031835348;0.345533667973748;0.322593042558488;0.269317033356486;0.340983169160247;0.333504351629659
0.3;0.7;0.02;0.355680331776481;0.350612245037177;0.331390477932634;0.384492842945015;0.365262620062784;0.366305820643364;0.351156709327499;0.327524179102997;0.337407133813688;0.346150786075892;0.322456732976282;0.320483116519096;0.350284406253693;0.389105686141593;0.377190735676229;0.352098931595092;0.341781338421001;0.358683759726042;0.329174521473001;0.363998216920713;0.31151584718842;0.339056156173273;0.334483866837288;0.342555094735127;0.318794322853786;0.372189124577533;0.399227343129385;0.351987002042095;0.380404814006986;0.354107615598856;0.387667265800107;0.349884315830845;0.365098715650499;0.324180739191161;0.343196368816726;0.341142377203004;0.372480162185168;0.317257875485231;0.341875516422632;0.346265644073275;0.388532252789848;0.372308045513455;0.329552028803557;0.346451956084258;0.314915865368705;0.379161415896344;0.351021632404067;0.384187399790488;0.337872721650038;0.317909032623855;0.347208048787482;0.332557633371724;0.344470728631572;0.339601379473993;0.401835009401886;0.347053077110925;0.321687549864798;0.364074702954307;0.311120032029858;0.326186230555365;0.37155790738068;0.344433828612479;0.369563513761563;0.337036084452667;0.343394314035232;0.360451317311212;0.370588785891208;0.322289160949897;0.362121572826188;0.319062261756829;0.331684524491328;0.364728218338292;0.354425517538629;0.369223624315193;0.35948228872057;0.322795871015591;0.388641070665429;0.363581019521604;0.359851483291786;0.343761881626312;0.400718775844819;0.377273470714445;0.352336990793278;0.322521004976922;0.356084362896108;0.351634364628154;0.346421293237108;0.275985844408458;0.370419822881509;0.365396164167769;0.348569309857632;0.367380722630088;0.339320849577669;0.324746538031377;0.363031085675004;0.347147726078564;0.345731111523343;0.387457291730875;0.317840319031824;0.340085676929211
